Id,SalePrice
1461,189878.48527707573
1462,239028.83142051595
1463,252500.01006335104
1464,270110.9915910695
1465,265250.0296592768
1466,255857.710919153
1467,269526.0924336464
1468,245370.9616566356
1469,279917.8230000523
1470,191396.93540632288
1471,274995.13218750746
1472,186125.08667050034
1473,168626.6937797629
1474,225055.25063106057
1475,181455.6742920944
1476,436277.3784825064
1477,325580.3929479785
1478,386862.70193002
1479,377731.90486904694
1480,505738.993423949
1481,367087.37512424524
1482,292390.71815071383
1483,262907.14765705075
1484,246074.74463104806
1485,286278.0464067313
1486,292981.5957290269
1487,376786.2801836203
1488,317192.3764897324
1489,270567.55262981856
1490,323162.66321741533
1491,299733.4109901426
1492,174935.20167709023
1493,276939.3776840649
1494,375760.751812747
1495,352062.02946838015
1496,322234.39783215
1497,246620.9518258744
1498,251327.30460081022
1499,240960.82273457342
1500,237913.97399646073
1501,290412.26150388265
1502,233120.4595669287
1503,361220.0105743535
1504,324171.8415876244
1505,304670.39144400205
1506,276695.3779243611
1507,330641.5359106748
1508,290966.1001644901
1509,236549.5947349644
1510,216368.7151319652
1511,236169.09973271927
1512,259920.1593000934
1513,241518.97265958268
1514,230824.08714621706
1515,296042.9147023056
1516,261626.42343655348
1517,250617.31518557193
1518,198833.83891068248
1519,308850.57389703474
1520,208090.12744274273
1521,202159.5333873011
1522,275658.60953306395
1523,178852.79923208087
1524,207881.5064800418
1525,178195.9563482493
1526,169657.77633115053
1527,173081.2594148077
1528,230306.96497752526
1529,222335.7171839422
1530,283621.34945484775
1531,230438.45287932397
1532,191259.8732389693
1533,241804.98224396212
1534,233679.1275377578
1535,245984.539121574
1536,193231.26350820425
1537,129059.25158846081
1538,236572.84244928727
1539,310596.9063352434
1540,205768.68077864803
1541,229043.9449263305
1542,224330.68431714064
1543,270053.18739644426
1544,172314.4268111302
1545,187536.071204131
1546,222412.39691025432
1547,232857.85147737165
1548,213382.99109253864
1549,193828.39836853245
1550,219066.62715166653
1551,215011.69800329307
1552,223223.36611496672
1553,247547.83072951608
1554,192092.77132938022
1555,246104.97550845068
1556,155190.42139921803
1557,202948.46848034102
1558,197217.55061851695
1559,164180.65956949437
1560,226382.51265998025
1561,228702.41843579328
1562,214935.750197879
1563,199528.6660133986
1564,242668.62486013168
1565,218345.55428950395
1566,320542.2056471457
1567,165301.64964637198
1568,321237.61412613833
1569,217486.42873461376
1570,221524.66553055355
1571,178572.16211652994
1572,218846.24323455614
1573,331494.3015649833
1574,198344.940961435
1575,315377.92493237695
1576,338340.08735600795
1577,270902.50065730116
1578,242875.4288972554
1579,206181.14417699372
1580,276567.59992773854
1581,240499.59999673697
1582,207262.1752850936
1583,368723.9155842365
1584,309055.8091523753
1585,235479.7917374239
1586,121840.28033760953
1587,187066.62661741683
1588,228718.65847790762
1589,191635.2076478712
1590,215311.4580731802
1591,160109.09573867428
1592,220427.70841395418
1593,217222.90141669975
1594,219180.52937907237
1595,203624.8278740808
1596,294510.8259296211
1597,254670.48549876962
1598,279582.6414739741
1599,264065.4157929439
1600,259162.08817778918
1601,120305.67220951291
1602,199452.2741046183
1603,139382.65240667504
1604,342780.5776828708
1605,332024.1168558571
1606,248592.9314242013
1607,246293.89939600258
1608,309102.2419398121
1609,275592.0677726352
1610,237865.44555848482
1611,217944.72550738003
1612,269548.7388679707
1613,248192.03251383742
1614,211131.66891360682
1615,168958.11036723887
1616,142928.88568016567
1617,146966.31178106734
1618,192139.26313596257
1619,237993.73135596234
1620,235808.82958261596
1621,220072.16790624516
1622,236108.9426217928
1623,333795.6412956456
1624,302342.30931914266
1625,200051.49011414647
1626,263987.1484684879
1627,266104.2735124019
1628,367562.10990794597
1629,259020.7042469156
1630,397388.8610223166
1631,286933.07194648555
1632,301405.10110267147
